Time Bucket (America/New_York),Emporia Garage-EV (kWhs)
01/01/2024 00:00:00,0.0000
01/02/2024 00:00:00,21.4523
01/03/2024 00:00:00,0.0168
01/04/2024 00:00:00,0.0000
01/05/2024 00:00:00,40.7000
01/06/2024 00:00:00,0.0000
01/07/2024 00:00:00,0.0000
01/08/2024 00:00:00,0.0000
01/09/2024 00:00:00,0.0000
01/10/2024 00:00:00,32.5108
01/11/2024 00:00:00,0.0000
01/12/2024 00:00:00,26.1079
01/13/2024 00:00:00,9.4153
01/14/2024 00:00:00,0.0000
01/15/2024 00:00:00,32.8761
01/16/2024 00:00:00,8.2603
01/17/2024 00:00:00,0.0000
01/18/2024 00:00:00,36.4634
01/19/2024 00:00:00,0.0100
01/20/2024 00:00:00,0.0000
01/21/2024 00:00:00,0.0000
01/22/2024 00:00:00,0.0000
01/23/2024 00:00:00,0.0000
01/24/2024 00:00:00,29.5027
01/25/2024 00:00:00,0.0000
01/26/2024 00:00:00,35.7551
01/27/2024 00:00:00,0.3881
01/28/2024 00:00:00,33.0321
01/29/2024 00:00:00,7.4838
01/30/2024 00:00:00,0.0000
01/31/2024 00:00:00,0.0000
02/01/2024 00:00:00,17.3231
02/02/2024 00:00:00,17.5786
02/03/2024 00:00:00,27.3965
02/04/2024 00:00:00,42.7249
02/05/2024 00:00:00,34.5276
02/06/2024 00:00:00,0.0000
02/07/2024 00:00:00,29.8576
02/08/2024 00:00:00,0.7647
02/09/2024 00:00:00,28.1315
02/10/2024 00:00:00,0.0000
02/11/2024 00:00:00,0.0000
02/12/2024 00:00:00,0.0000
02/13/2024 00:00:00,17.6534
02/14/2024 00:00:00,0.0000
02/15/2024 00:00:00,24.0653
02/16/2024 00:00:00,0.0000
02/17/2024 00:00:00,37.3365
02/18/2024 00:00:00,0.0381
02/19/2024 00:00:00,0.0000
02/20/2024 00:00:00,0.0000
02/21/2024 00:00:00,32.8750
02/22/2024 00:00:00,36.3373
02/23/2024 00:00:00,2.5274
02/24/2024 00:00:00,0.0000
02/25/2024 00:00:00,51.7798
02/26/2024 00:00:00,4.8812
02/27/2024 00:00:00,0.0000
02/28/2024 00:00:00,0.0000
02/29/2024 00:00:00,18.6629
03/01/2024 00:00:00,28.9299
03/02/2024 00:00:00,0.0000
03/03/2024 00:00:00,0.0000
03/04/2024 00:00:00,0.0000
03/05/2024 00:00:00,39.9428
03/06/2024 00:00:00,0.0000
03/07/2024 00:00:00,0.0000
03/08/2024 00:00:00,0.0000
03/09/2024 00:00:00,48.8614
03/10/2024 00:00:00,0.0480
03/11/2024 00:00:00,0.0000
03/12/2024 00:00:00,0.0000
03/13/2024 00:00:00,0.0000
03/14/2024 00:00:00,55.4483
03/15/2024 00:00:00,0.0000
03/16/2024 00:00:00,27.1593
03/17/2024 00:00:00,0.0417
03/18/2024 00:00:00,0.0000
03/19/2024 00:00:00,43.4395
03/20/2024 00:00:00,0.0000
03/21/2024 00:00:00,0.0000
03/22/2024 00:00:00,31.5012
03/23/2024 00:00:00,16.3022
03/24/2024 00:00:00,0.0000
03/25/2024 00:00:00,0.0000
03/26/2024 00:00:00,0.0000
03/27/2024 00:00:00,40.1955
03/28/2024 00:00:00,12.9310
03/29/2024 00:00:00,0.0000
03/30/2024 00:00:00,40.9741
03/31/2024 00:00:00,0.0000
04/01/2024 00:00:00,0.0000
04/02/2024 00:00:00,41.5495
04/03/2024 00:00:00,0.0000
04/04/2024 00:00:00,0.0000
04/05/2024 00:00:00,24.3073
04/06/2024 00:00:00,14.1654
04/07/2024 00:00:00,32.0482
04/08/2024 00:00:00,0.0000
04/09/2024 00:00:00,0.0000
04/10/2024 00:00:00,0.0000
04/11/2024 00:00:00,32.1430
04/12/2024 00:00:00,14.0571
04/13/2024 00:00:00,14.5417
04/14/2024 00:00:00,0.0000
04/15/2024 00:00:00,55.5677
04/16/2024 00:00:00,1.3293
04/17/2024 00:00:00,0.0000
04/18/2024 00:00:00,0.0000
04/19/2024 00:00:00,42.0701
04/20/2024 00:00:00,12.8694
04/21/2024 00:00:00,74.2497
04/22/2024 00:00:00,0.4088
04/23/2024 00:00:00,0.0000
04/24/2024 00:00:00,0.0000
04/25/2024 00:00:00,30.2398
04/26/2024 00:00:00,0.0687
04/27/2024 00:00:00,0.0000
04/28/2024 00:00:00,41.6430
04/29/2024 00:00:00,10.7930
04/30/2024 00:00:00,0.0000
05/01/2024 00:00:00,0.0000
05/02/2024 00:00:00,0.0000
05/03/2024 00:00:00,46.5224
05/04/2024 00:00:00,0.0000
05/05/2024 00:00:00,0.0000
05/06/2024 00:00:00,0.0000
05/07/2024 00:00:00,34.1665
05/08/2024 00:00:00,0.0000
05/09/2024 00:00:00,0.0000
05/10/2024 00:00:00,37.8856
05/11/2024 00:00:00,0.0000
05/12/2024 00:00:00,0.0000
05/13/2024 00:00:00,35.9864
05/14/2024 00:00:00,0.0000
05/15/2024 00:00:00,0.0000
05/16/2024 00:00:00,42.6404
05/17/2024 00:00:00,0.0000
05/18/2024 00:00:00,0.0000
05/19/2024 00:00:00,0.0000
05/20/2024 00:00:00,39.7752
05/21/2024 00:00:00,0.0000
05/22/2024 00:00:00,46.4175
05/23/2024 00:00:00,10.6751
05/24/2024 00:00:00,0.0000
05/25/2024 00:00:00,0.0000
05/26/2024 00:00:00,0.0000
05/27/2024 00:00:00,0.0000
05/28/2024 00:00:00,0.0000
05/29/2024 00:00:00,0.0000
05/30/2024 00:00:00,0.0000
05/31/2024 00:00:00,0.0000
06/01/2024 00:00:00,0.0000
06/02/2024 00:00:00,25.7648
06/03/2024 00:00:00,0.0000
06/04/2024 00:00:00,0.0000
06/05/2024 00:00:00,0.0000
06/06/2024 00:00:00,40.1146
06/07/2024 00:00:00,0.0000
06/08/2024 00:00:00,0.0000
06/09/2024 00:00:00,31.1992
06/10/2024 00:00:00,2.2697
06/11/2024 00:00:00,0.0000
